******************* Приложение запущено 2024.07.18 20:22:00,380 [v1.47.0.1064] **************************
2024.07.18 20:22:00,415 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод CommonService.GetSettings...
2024.07.18 20:22:01,715 [196280786][1.47.0.1064] DEBUG - <<< Метод CommonService.GetSettings успешно завершен. Возвращаемое значение: CommonServiceProxy.SetupDto
2024.07.18 20:22:01,722 [196280786][1.47.0.1064] DEBUG - Получены настройки: InterfaceUnlockAvailable=False, TsdSettings={SerialNumber=73E65B7606490108011510102E7C0600, InterfaceUnlocked=True}
2024.07.18 20:22:01,728 [196280786][1.47.0.1064] INFO - Сервер sws-wms-test:14215, customTimeout=
2024.07.18 20:22:01,793 [196280786][1.47.0.1064] INFO - Загружены настройки сканера из файла \Application\ScanCity.Convey\ScannerSettings_20101011174300.usi
2024.07.18 20:22:02,016 [196280786][1.47.0.1064] INFO - Модель терминала: Unknown
2024.07.18 20:22:02,102 [196280786][1.47.0.1064] DEBUG - Файл pdb.ini найден и считан (56 строк)
2024.07.18 20:22:02,111 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод AuthenticationForm.RenderControls...
2024.07.18 20:22:02,128 [196280786][1.47.0.1064] DEBUG - <<< Метод AuthenticationForm.RenderControls успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:02,289 [196280786][1.47.0.1064] DEBUG - reader_ReadNotify
2024.07.18 20:22:02,339 [196280786][1.47.0.1064] DEBUG - reader_ReadNotify: Barcode='', Type='Unknown'
2024.07.18 20:22:02,348 [196280786][1.47.0.1064] DEBUG - reader_ReadNotify - выход
2024.07.18 20:22:02,360 [196280786][1.47.0.1064] DEBUG - reader_ReadNotify
2024.07.18 20:22:02,372 [196280786][1.47.0.1064] DEBUG - reader_ReadNotify: Barcode='', Type='Unknown'
2024.07.18 20:22:02,378 [196280786][1.47.0.1064] DEBUG - reader_ReadNotify - выход
2024.07.18 20:22:03,090 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод CommonService.UpdateSettings...
2024.07.18 20:22:03,091 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:03,091 [196280786][1.47.0.1064] DEBUG - 	scannerSettingsFileName: ScannerSettings_20101011174300.usi
2024.07.18 20:22:04,388 [196280786][1.47.0.1064] DEBUG - <<< Метод CommonService.UpdateSettings успешно завершен. Возвращаемое значение: CommonServiceProxy.SettingsDto
2024.07.18 20:22:07,464 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод AuthenticationForm.OnEmployeeInputted...
2024.07.18 20:22:07,464 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:07,464 [196280786][1.47.0.1064] DEBUG - 	sender: InputField (label: ШК сотрудника:, text: 2920009607)
2024.07.18 20:22:07,464 [196280786][1.47.0.1064] DEBUG - 	args: InputtedEventArgs (Text: 2920009607, Source: Keyboard, BarcodeEventArgs: )
2024.07.18 20:22:07,501 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод AuthenticationService.LogonUser...
2024.07.18 20:22:07,501 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:07,502 [196280786][1.47.0.1064] DEBUG - 	barcode: 2920009607
2024.07.18 20:22:07,502 [196280786][1.47.0.1064] DEBUG - 	employee: не задано
2024.07.18 20:22:07,955 [196280786][1.47.0.1064] DEBUG - <<< Метод AuthenticationService.LogonUser успешно завершен. Возвращаемое значение: 0
2024.07.18 20:22:07,961 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод CommonService.IsThereRequestUnprocessedByAx...
2024.07.18 20:22:07,961 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:07,961 [196280786][1.47.0.1064] DEBUG - 	employeeId: 0000072400
2024.07.18 20:22:08,006 [196280786][1.47.0.1064] DEBUG - <<< Метод CommonService.IsThereRequestUnprocessedByAx успешно завершен. Возвращаемое значение: False
2024.07.18 20:22:08,073 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод BusinessLogicService.GetUnfinishedTaskAndGoToExecution...
2024.07.18 20:22:08,073 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:08,074 [196280786][1.47.0.1064] DEBUG - 	employee: ServiceProxy.EmployeeDto
2024.07.18 20:22:08,086 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод CommonService.IsThereUnfinishedTask...
2024.07.18 20:22:08,086 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:08,086 [196280786][1.47.0.1064] DEBUG - 	employeeId: 0000072400
2024.07.18 20:22:08,139 [196280786][1.47.0.1064] DEBUG - <<< Метод CommonService.IsThereUnfinishedTask успешно завершен. Возвращаемое значение: False
2024.07.18 20:22:08,144 [196280786][1.47.0.1064] DEBUG - <<< Метод BusinessLogicService.GetUnfinishedTaskAndGoToExecution успешно завершен. Возвращаемое значение: False
2024.07.18 20:22:08,232 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод TaskSelectionForm.AllocateControls...
2024.07.18 20:22:08,316 [196280786][1.47.0.1064] DEBUG - <<< Метод TaskSelectionForm.AllocateControls успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:10,350 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод TaskSelectionForm.OnSortingButtonPressed...
2024.07.18 20:22:10,350 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:10,350 [196280786][1.47.0.1064] DEBUG - 	sender: PushingButton (name: _sortingButton, text: 6. Сортировка по магазинам)
2024.07.18 20:22:10,350 [196280786][1.47.0.1064] DEBUG - 	e: System.EventArgs
2024.07.18 20:22:10,396 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SubMenuForm.RenderControls...
2024.07.18 20:22:10,424 [196280786][1.47.0.1064] DEBUG - <<< Метод SubMenuForm.RenderControls успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:12,513 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SubMenuForm.OnSortingMezonineButtonPressed...
2024.07.18 20:22:12,513 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:12,514 [196280786][1.47.0.1064] DEBUG - 	sender: PushingButton (name: _sortingMezonineButton, text: 7. Сортировка в мезонине)
2024.07.18 20:22:12,514 [196280786][1.47.0.1064] DEBUG - 	e: System.EventArgs
2024.07.18 20:22:12,541 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.RenderControls...
2024.07.18 20:22:12,553 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.RenderControls успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:21,172 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:22:21,173 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:21,173 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:22:21,173 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:22:21,178 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:21,343 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:22:21,343 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:21,343 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:22:21,344 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:22:21,349 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:21,561 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:22:21,561 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:21,561 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:22:21,561 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:22:21,566 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:24,329 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:22:24,330 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:24,330 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:22:24,330 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:22:24,335 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:24,634 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:22:24,634 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:24,634 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:22:24,635 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:22:24,640 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:26,561 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:22:26,561 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:26,561 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:22:26,561 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:22:26,566 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:26,760 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:22:26,760 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:26,761 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:22:26,761 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:22:26,766 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:26,921 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:22:26,921 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:26,921 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:22:26,922 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:22:26,927 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:28,746 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnFormKeyDown...
2024.07.18 20:22:28,746 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:28,747 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsSelectionForm
2024.07.18 20:22:28,747 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:22:28,751 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsSelectionForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:28,767 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsSelectionForm.OnBarcodeInputted...
2024.07.18 20:22:28,768 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:28,768 [196280786][1.47.0.1064] DEBUG - 	sender: InputField (label: ШК лотка:, text: 78579507)
2024.07.18 20:22:28,768 [196280786][1.47.0.1064] DEBUG - 	args: InputtedEventArgs (Text: 78579507, Source: Keyboard, BarcodeEventArgs: )
2024.07.18 20:22:28,814 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsService.StartTask...
2024.07.18 20:22:28,814 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:28,814 [196280786][1.47.0.1064] DEBUG - 	employeeId: 0000072400
2024.07.18 20:22:28,815 [196280786][1.47.0.1064] DEBUG - 	cargoPackageId: 78579507
2024.07.18 20:22:28,815 [196280786][1.47.0.1064] DEBUG - 	taskType: 48
2024.07.18 20:22:28,815 [196280786][1.47.0.1064] DEBUG - 	task: не задано
2024.07.18 20:22:29,119 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsService.StartTask успешно завершен. Возвращаемое значение: 0
2024.07.18 20:22:29,173 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.RenderControls...
2024.07.18 20:22:29,237 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.RenderControls успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:22:29,243 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsService.GetLinesQty...
2024.07.18 20:22:29,243 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:29,243 [196280786][1.47.0.1064] DEBUG - 	taskId: MK71671532
2024.07.18 20:22:29,243 [196280786][1.47.0.1064] DEBUG - 	qty: 0
2024.07.18 20:22:29,350 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsService.GetLinesQty успешно завершен. Возвращаемое значение: 0
2024.07.18 20:22:29,356 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsService.GetUnfinishedLines...
2024.07.18 20:22:29,356 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:22:29,357 [196280786][1.47.0.1064] DEBUG - 	employeeId: 0000072400
2024.07.18 20:22:29,357 [196280786][1.47.0.1064] DEBUG - 	taskId: MK71671532
2024.07.18 20:22:29,357 [196280786][1.47.0.1064] DEBUG - 	lineCount: 0
2024.07.18 20:22:29,357 [196280786][1.47.0.1064] DEBUG - 	message: не задано
2024.07.18 20:22:29,448 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsService.GetUnfinishedLines успешно завершен. Возвращаемое значение: -2
2024.07.18 20:23:27,025 [177930750][(null)] DEBUG - POWER_BROADCAST: Message=PBT_TRANSITION, Flags=POWER_STATE_ON, POWER_STATE_PASSWORD (0x10010000)
2024.07.18 20:23:52,522 [177930750][(null)] DEBUG - POWER_BROADCAST: Message=PBT_TRANSITION, Flags=POWER_STATE_ON, POWER_STATE_PASSWORD (0x12010000)
2024.07.18 20:23:53,642 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:23:53,642 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:23:53,643 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:23:53,643 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:23:53,648 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:23:53,875 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:23:53,876 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:23:53,876 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:23:53,876 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:23:53,881 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:23:54,066 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:23:54,067 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:23:54,067 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:23:54,067 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:23:54,072 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:23:55,792 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:23:55,793 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:23:55,793 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:23:55,793 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:23:55,798 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:23:55,989 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:23:55,989 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
