******************* Приложение запущено 2024.07.18 20:54:08,215 [v1.47.0.1064] **************************
2024.07.18 20:54:08,250 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод CommonService.GetSettings...
2024.07.18 20:54:09,337 [175571738][1.47.0.1064] DEBUG - <<< Метод CommonService.GetSettings успешно завершен. Возвращаемое значение: CommonServiceProxy.SetupDto
2024.07.18 20:54:09,345 [175571738][1.47.0.1064] DEBUG - Получены настройки: InterfaceUnlockAvailable=False, TsdSettings={SerialNumber=73E65B7606490108011510102E7C0600, InterfaceUnlocked=True}
2024.07.18 20:54:09,351 [175571738][1.47.0.1064] INFO - Сервер sws-wms-test:14215, customTimeout=
2024.07.18 20:54:09,415 [175571738][1.47.0.1064] INFO - Загружены настройки сканера из файла \Application\ScanCity.Convey\ScannerSettings_20101011174300.usi
2024.07.18 20:54:09,637 [175571738][1.47.0.1064] INFO - Модель терминала: Unknown
2024.07.18 20:54:09,723 [175571738][1.47.0.1064] DEBUG - Файл pdb.ini найден и считан (56 строк)
2024.07.18 20:54:09,731 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод AuthenticationForm.RenderControls...
2024.07.18 20:54:09,749 [175571738][1.47.0.1064] DEBUG - <<< Метод AuthenticationForm.RenderControls успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:54:09,910 [175571738][1.47.0.1064] DEBUG - reader_ReadNotify
2024.07.18 20:54:09,960 [175571738][1.47.0.1064] DEBUG - reader_ReadNotify: Barcode='', Type='Unknown'
2024.07.18 20:54:09,969 [175571738][1.47.0.1064] DEBUG - reader_ReadNotify - выход
2024.07.18 20:54:09,981 [175571738][1.47.0.1064] DEBUG - reader_ReadNotify
2024.07.18 20:54:09,986 [175571738][1.47.0.1064] DEBUG - reader_ReadNotify: Barcode='', Type='Unknown'
2024.07.18 20:54:09,990 [175571738][1.47.0.1064] DEBUG - reader_ReadNotify - выход
2024.07.18 20:54:10,710 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод CommonService.UpdateSettings...
2024.07.18 20:54:10,711 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:54:10,711 [175571738][1.47.0.1064] DEBUG - 	scannerSettingsFileName: ScannerSettings_20101011174300.usi
2024.07.18 20:54:11,111 [175571738][1.47.0.1064] DEBUG - <<< Метод CommonService.UpdateSettings успешно завершен. Возвращаемое значение: CommonServiceProxy.SettingsDto
2024.07.18 20:54:18,738 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод AuthenticationForm.OnEmployeeInputted...
2024.07.18 20:54:18,738 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:54:18,738 [175571738][1.47.0.1064] DEBUG - 	sender: InputField (label: ШК сотрудника:, text: 2920009607)
2024.07.18 20:54:18,739 [175571738][1.47.0.1064] DEBUG - 	args: InputtedEventArgs (Text: 2920009607, Source: Keyboard, BarcodeEventArgs: )
2024.07.18 20:54:18,775 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод AuthenticationService.LogonUser...
2024.07.18 20:54:18,775 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:54:18,775 [175571738][1.47.0.1064] DEBUG - 	barcode: 2920009607
2024.07.18 20:54:18,775 [175571738][1.47.0.1064] DEBUG - 	employee: не задано
2024.07.18 20:54:18,982 [175571738][1.47.0.1064] DEBUG - <<< Метод AuthenticationService.LogonUser успешно завершен. Возвращаемое значение: 0
2024.07.18 20:54:18,988 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод CommonService.IsThereRequestUnprocessedByAx...
2024.07.18 20:54:18,988 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:54:18,988 [175571738][1.47.0.1064] DEBUG - 	employeeId: 0000072400
2024.07.18 20:54:19,055 [175571738][1.47.0.1064] DEBUG - <<< Метод CommonService.IsThereRequestUnprocessedByAx успешно завершен. Возвращаемое значение: False
2024.07.18 20:54:19,120 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод BusinessLogicService.GetUnfinishedTaskAndGoToExecution...
2024.07.18 20:54:19,120 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:54:19,120 [175571738][1.47.0.1064] DEBUG - 	employee: ServiceProxy.EmployeeDto
2024.07.18 20:54:19,125 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод CommonService.IsThereUnfinishedTask...
2024.07.18 20:54:19,126 [175571738][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:54:19,126 [175571738][1.47.0.1064] DEBUG - 	employeeId: 0000072400
2024.07.18 20:54:19,185 [175571738][1.47.0.1064] DEBUG - <<< Метод CommonService.IsThereUnfinishedTask успешно завершен. Возвращаемое значение: False
2024.07.18 20:54:19,191 [175571738][1.47.0.1064] DEBUG - <<< Метод BusinessLogicService.GetUnfinishedTaskAndGoToExecution успешно завершен. Возвращаемое значение: False
2024.07.18 20:54:19,273 [175571738][1.47.0.1064] DEBUG - >>> Вызван метод TaskSelectionForm.AllocateControls...
